ParticipantID,Block,Mental,Physical,Temporal,Performance,Effort,Frustration,Overall_TLX
god father,Mouse,21,61,81,100,18,22,ComputedLater
god father,Trackpad,28,66,85,100,65,70,ComputedLater
god father,Gesture,67,100,100,100,100,100,ComputedLater
